Collocate	POS	Rank	Freq(Scaled)	FreqLR	FreqL	FreqR	Range	Likelihood	Effect
scoundrel		1	130	2	2	0	2	28.021	11.504
opinionated		2	4	1	1	0	1	19.821	15.527
thoroughgoing		2	4	1	1	0	1	19.821	15.527
partisan		2	4	1	1	0	1	19.821	15.527
absurdest		2	4	1	1	0	1	19.821	15.527
consummate		6	30	1	1	0	1	15.552	12.62
persecuted		7	32	1	1	0	1	15.420	12.527
hound		8	42	1	1	0	1	14.869	12.134
intolerable		9	50	1	1	0	1	14.517	11.883
existed		10	90	1	1	0	1	13.332	11.035
serene		11	132	1	1	0	1	12.563	10.482
sanguine		12	136	1	1	0	1	12.503	10.439
vacant		13	148	1	1	0	1	12.334	10.317
feature		14	176	1	1	0	1	11.986	10.067
evident		15	200	1	1	0	1	11.730	9.883
appointment		16	230	1	1	0	1	11.450	9.681
pony		17	250	1	1	0	1	11.284	9.561
chancery		18	272	1	1	0	1	11.115	9.439
